Time,Tag ID,Cattle Name,Quantity (L),Quality,Temperature (°C)
"14/11/2025, 06:34:00","CT011","Sophie","5.7","good","36.96"
"14/11/2025, 06:31:00","CT003","Molly","7.1","good","37.17"
"14/11/2025, 06:17:00","CT010","Emma","10.4","good","36.85"
"14/11/2025, 06:14:00","CT009","Grace","11.6","good","37.04"
"14/11/2025, 06:00:00","CT006","Maggie","11.6","fair","37.12"
"13/11/2025, 18:46:00","CT004","Luna","7.4","good","37.52"
"13/11/2025, 18:46:00","CT003","Molly","5.2","excellent","37.24"
"13/11/2025, 18:41:00","CT008","Betty","14.1","excellent","37.44"
"13/11/2025, 18:01:00","CT012","Lily","10.8","good","37.26"
"13/11/2025, 17:59:00","CT001","Bella","12.6","good","37.56"
"13/11/2025, 17:56:00","CT006","Maggie","7.9","good","37.28"
"13/11/2025, 17:26:00","CT005","Ruby","3.6","good","37.46"
"13/11/2025, 17:23:00","CT009","Grace","8.3","fair","37.38"
"13/11/2025, 17:17:00","CT002","Daisy","9.4","good","37.58"
"13/11/2025, 17:14:00","CT007","Rosie","9.2","good","37.54"
"13/11/2025, 17:03:00","CT010","Emma","8.9","good","37.29"
"13/11/2025, 17:02:00","CT011","Sophie","5.5","excellent","37.26"
"13/11/2025, 07:50:00","CT003","Molly","7.5","good","36.94"
"13/11/2025, 07:47:00","CT005","Ruby","4.5","good","37.15"
"13/11/2025, 07:31:00","CT009","Grace","10.6","good","37.04"
"13/11/2025, 07:26:00","CT007","Rosie","11.9","fair","36.96"
"13/11/2025, 07:20:00","CT010","Emma","10","excellent","36.82"
"13/11/2025, 07:06:00","CT006","Maggie","9.8","good","36.94"
"13/11/2025, 06:53:00","CT001","Bella","13","excellent","36.93"
"13/11/2025, 06:35:00","CT002","Daisy","11.2","good","36.8"
"13/11/2025, 06:32:00","CT004","Luna","9.1","good","37.19"
"13/11/2025, 06:30:00","CT008","Betty","14.8","excellent","37.01"
"13/11/2025, 06:24:00","CT011","Sophie","6.3","good","37.06"
"13/11/2025, 06:16:00","CT012","Lily","10.3","fair","37.02"
"12/11/2025, 18:49:00","CT011","Sophie","5.7","fair","37.31"
"12/11/2025, 18:37:00","CT002","Daisy","7.5","fair","37.34"
"12/11/2025, 18:36:00","CT012","Lily","9.8","good","37.37"
"12/11/2025, 18:15:00","CT006","Maggie","10.4","excellent","37.39"
"12/11/2025, 18:15:00","CT005","Ruby","3.6","good","37.51"
"12/11/2025, 18:13:00","CT003","Molly","5","good","37.52"
"12/11/2025, 18:07:00","CT004","Luna","7","good","37.44"
"12/11/2025, 18:03:00","CT001","Bella","12.5","good","37.35"
"12/11/2025, 17:50:00","CT009","Grace","9.4","good","37.56"
"12/11/2025, 17:45:00","CT007","Rosie","9.9","good","37.46"
"12/11/2025, 17:00:00","CT008","Betty","13.2","good","37.28"
"12/11/2025, 17:00:00","CT010","Emma","7.4","good","37.35"
"12/11/2025, 07:59:00","CT007","Rosie","11.8","fair","37.07"
"12/11/2025, 07:47:00","CT004","Luna","9","good","37.14"
"12/11/2025, 07:38:00","CT003","Molly","8.2","good","37.14"
"12/11/2025, 07:36:00","CT006","Maggie","12.4","good","37.1"
"12/11/2025, 07:24:00","CT002","Daisy","8.5","fair","36.97"
"12/11/2025, 07:04:00","CT005","Ruby","4.8","fair","37.07"
"12/11/2025, 06:35:00","CT011","Sophie","4.8","good","36.95"
"12/11/2025, 06:31:00","CT001","Bella","13.6","good","37.03"
"12/11/2025, 06:27:00","CT012","Lily","10.3","excellent","36.93"
"12/11/2025, 06:24:00","CT008","Betty","16.6","good","37.18"
"12/11/2025, 06:20:00","CT009","Grace","11.2","good","36.93"
"12/11/2025, 06:15:00","CT010","Emma","8.9","fair","36.88"
"11/11/2025, 18:43:00","CT002","Daisy","9.5","excellent","37.28"
"11/11/2025, 18:35:00","CT007","Rosie","9.9","good","37.24"
"11/11/2025, 18:22:00","CT006","Maggie","10.4","good","37.38"
"11/11/2025, 18:21:00","CT011","Sophie","6.1","good","37.28"
"11/11/2025, 18:16:00","CT001","Bella","11.9","good","37.27"
"11/11/2025, 18:07:00","CT008","Betty","13.1","good","37.45"
"11/11/2025, 17:39:00","CT003","Molly","5.2","good","37.34"
"11/11/2025, 17:27:00","CT010","Emma","7.7","good","37.28"
"11/11/2025, 17:23:00","CT004","Luna","6","excellent","37.49"
"11/11/2025, 17:23:00","CT012","Lily","10.5","good","37.34"
"11/11/2025, 17:20:00","CT005","Ruby","5.1","fair","37.42"
"11/11/2025, 17:07:00","CT009","Grace","7.4","good","37.29"
"11/11/2025, 07:39:00","CT006","Maggie","11","fair","37.19"
"11/11/2025, 07:21:00","CT008","Betty","15.6","good","37.01"
"11/11/2025, 07:18:00","CT001","Bella","14.6","fair","37.09"
"11/11/2025, 07:11:00","CT003","Molly","6.1","good","37.16"
"11/11/2025, 07:10:00","CT004","Luna","9.6","fair","37.15"
"11/11/2025, 06:56:00","CT007","Rosie","11.5","fair","37.04"
"11/11/2025, 06:45:00","CT002","Daisy","8.9","good","37"
"11/11/2025, 06:45:00","CT011","Sophie","6.8","good","36.81"
"11/11/2025, 06:42:00","CT005","Ruby","5.2","good","37.03"
"11/11/2025, 06:40:00","CT009","Grace","11.5","good","37.01"
"11/11/2025, 06:17:00","CT010","Emma","9.4","excellent","36.83"
"11/11/2025, 06:02:00","CT012","Lily","10.8","fair","37.02"
"10/11/2025, 18:49:00","CT009","Grace","7.8","fair","37.35"
"10/11/2025, 18:33:00","CT012","Lily","10.3","fair","37.53"
"10/11/2025, 18:27:00","CT004","Luna","7.2","fair","37.25"
"10/11/2025, 18:19:00","CT011","Sophie","4.7","excellent","37.49"
"10/11/2025, 18:18:00","CT006","Maggie","10.6","fair","37.38"
"10/11/2025, 18:15:00","CT005","Ruby","3","good","37.2"
"10/11/2025, 18:13:00","CT007","Rosie","10.6","excellent","37.54"
"10/11/2025, 18:09:00","CT010","Emma","6.4","good","37.51"
"10/11/2025, 18:07:00","CT008","Betty","14","good","37.32"
"10/11/2025, 18:00:00","CT002","Daisy","6.9","good","37.53"
"10/11/2025, 17:54:00","CT001","Bella","11.2","fair","37.51"
"10/11/2025, 17:27:00","CT003","Molly","6.5","good","37.48"
"10/11/2025, 07:49:00","CT009","Grace","11.2","good","37.1"
"10/11/2025, 07:45:00","CT008","Betty","15.8","good","36.8"
"10/11/2025, 07:23:00","CT003","Molly","5.7","good","36.88"
"10/11/2025, 07:13:00","CT006","Maggie","10","good","37.18"
"10/11/2025, 07:00:00","CT001","Bella","13.1","excellent","37.03"
"10/11/2025, 07:00:00","CT004","Luna","7.5","excellent","37.04"
"10/11/2025, 06:57:00","CT010","Emma","10","fair","37.05"
"10/11/2025, 06:46:00","CT002","Daisy","11.3","good","37.15"
"10/11/2025, 06:40:00","CT005","Ruby","3.2","fair","36.97"
"10/11/2025, 06:40:00","CT007","Rosie","13.5","good","36.96"
"10/11/2025, 06:25:00","CT012","Lily","11.1","good","37.04"
"10/11/2025, 06:18:00","CT011","Sophie","5.9","good","36.84"
"09/11/2025, 18:51:00","CT002","Daisy","7.5","good","37.58"
"09/11/2025, 18:36:00","CT001","Bella","11.8","excellent","37.32"
"09/11/2025, 18:31:00","CT012","Lily","9.3","good","37.42"
"09/11/2025, 18:24:00","CT005","Ruby","2.4","good","37.21"
"09/11/2025, 18:19:00","CT008","Betty","13.2","fair","37.38"
"09/11/2025, 18:19:00","CT009","Grace","8.2","good","37.6"
"09/11/2025, 18:17:00","CT003","Molly","4.3","fair","37.54"
"09/11/2025, 18:13:00","CT006","Maggie","8.7","fair","37.54"
"09/11/2025, 17:59:00","CT007","Rosie","11.3","good","37.29"
"09/11/2025, 17:58:00","CT010","Emma","7.4","good","37.23"
"09/11/2025, 17:12:00","CT011","Sophie","3.9","good","37.53"
"09/11/2025, 17:01:00","CT004","Luna","6.1","good","37.47"
"09/11/2025, 07:57:00","CT008","Betty","17.2","excellent","36.99"
"09/11/2025, 07:40:00","CT001","Bella","13.4","fair","36.82"
"09/11/2025, 07:36:00","CT012","Lily","11.3","good","36.96"
"09/11/2025, 07:31:00","CT007","Rosie","10.9","good","37.12"
"09/11/2025, 07:25:00","CT005","Ruby","3.4","good","36.95"
"09/11/2025, 07:24:00","CT002","Daisy","10.6","good","37.19"
"09/11/2025, 07:16:00","CT009","Grace","10.7","good","37.18"
"09/11/2025, 07:16:00","CT010","Emma","8.4","good","36.83"
"09/11/2025, 07:14:00","CT003","Molly","7.2","good","37.13"
"09/11/2025, 07:01:00","CT004","Luna","8.2","excellent","37.01"
"09/11/2025, 06:38:00","CT006","Maggie","12.6","good","37.1"
"09/11/2025, 06:36:00","CT011","Sophie","6.8","good","37.03"
"08/11/2025, 18:52:00","CT001","Bella","12.8","excellent","37.34"
"08/11/2025, 18:44:00","CT002","Daisy","6.9","good","37.4"
"08/11/2025, 18:38:00","CT004","Luna","8.2","good","37.32"
"08/11/2025, 18:36:00","CT011","Sophie","5","good","37.41"
"08/11/2025, 18:35:00","CT005","Ruby","5","good","37.33"
"08/11/2025, 18:29:00","CT009","Grace","8.7","good","37.36"
"08/11/2025, 18:02:00","CT006","Maggie","10.6","good","37.24"
"08/11/2025, 17:58:00","CT008","Betty","12.6","good","37.56"
"08/11/2025, 17:46:00","CT003","Molly","5","good","37.34"
"08/11/2025, 17:41:00","CT010","Emma","8.9","good","37.2"
"08/11/2025, 17:38:00","CT012","Lily","9.2","fair","37.3"
"08/11/2025, 17:11:00","CT007","Rosie","10.8","excellent","37.52"
"08/11/2025, 07:51:00","CT011","Sophie","6.9","good","37.19"
"08/11/2025, 07:50:00","CT006","Maggie","9.8","good","37.08"
"08/11/2025, 07:32:00","CT007","Rosie","12.3","fair","37.11"
"08/11/2025, 07:29:00","CT005","Ruby","4","good","36.95"
"08/11/2025, 07:22:00","CT004","Luna","9.8","fair","36.91"
"08/11/2025, 07:14:00","CT012","Lily","11.3","good","37.07"
"08/11/2025, 07:10:00","CT010","Emma","9.9","good","37.06"
"08/11/2025, 07:10:00","CT003","Molly","6.1","excellent","36.99"
"08/11/2025, 06:52:00","CT008","Betty","15.3","good","36.84"
"08/11/2025, 06:30:00","CT009","Grace","11.7","good","36.96"
"08/11/2025, 06:22:00","CT002","Daisy","11.1","good","37.14"
"08/11/2025, 06:22:00","CT001","Bella","14.1","good","36.89"
"07/11/2025, 18:43:00","CT002","Daisy","8.1","excellent","37.35"
"07/11/2025, 18:37:00","CT006","Maggie","8.5","excellent","37.59"
"07/11/2025, 18:37:00","CT007","Rosie","9.8","good","37.45"
"07/11/2025, 18:35:00","CT010","Emma","7.6","excellent","37.48"
"07/11/2025, 18:33:00","CT011","Sophie","5.3","good","37.41"
"07/11/2025, 18:26:00","CT003","Molly","4.7","good","37.59"
"07/11/2025, 18:11:00","CT005","Ruby","4.7","good","37.22"
"07/11/2025, 18:03:00","CT004","Luna","7.7","fair","37.36"
"07/11/2025, 17:52:00","CT009","Grace","8.8","fair","37.46"
"07/11/2025, 17:23:00","CT001","Bella","11.5","good","37.51"
"07/11/2025, 17:11:00","CT008","Betty","12.8","good","37.58"
"07/11/2025, 17:03:00","CT012","Lily","9","excellent","37.42"
"07/11/2025, 07:56:00","CT001","Bella","14.1","fair","37.2"
"07/11/2025, 07:52:00","CT003","Molly","6.9","good","36.96"
"07/11/2025, 07:29:00","CT011","Sophie","6.7","good","37.03"
"07/11/2025, 07:28:00","CT004","Luna","8.9","excellent","37.15"
"07/11/2025, 07:22:00","CT002","Daisy","8.9","excellent","36.99"
"07/11/2025, 07:22:00","CT008","Betty","14.7","good","36.91"
"07/11/2025, 07:13:00","CT006","Maggie","12.6","good","37.05"
"07/11/2025, 07:08:00","CT009","Grace","11.2","fair","37.07"
"07/11/2025, 06:44:00","CT007","Rosie","13","excellent","36.93"
"07/11/2025, 06:43:00","CT010","Emma","8.9","excellent","37.01"
"07/11/2025, 06:10:00","CT005","Ruby","3.8","fair","36.99"
"07/11/2025, 06:07:00","CT012","Lily","13.3","good","37.19"
